LOC,STATEMENTS,PUBATTR,OUTCOMMENTEDBLOCKS,MMCCC,MULTIPLESTATEMENTS,MAXSTMTSSEQ,RLOC,METHODS,NL1+,PUBMETHODS,NL3+,#NOTE,FILENAME,CHARS140+,MNL,NL,INTERNALMETHODS,NL0,FRIENDCLASS,NL1,#HINT,NL3,NL2,OUTCOMMENTEDLOC,NONISOLATEDBRACES,CPPCHECKISSUES,PREPROCESSORDIRECTIVES,#TODO,INCLUDES,#FIXME,MRLOCNAME,CLASSES,MRLOC,#HACK,MMCCCNAME,MNLNAME,COMMENTS,NL2+,MAXOUTCOMMENTEDBLOCK,NL5,NL4,NL5+,NL4+,NL0+,NL6,NL6+,TESTCOVERAGE,NL7,NL7+,NL8,NL8+,NL9+,NL9,FUNCTIONS
145,47,0,0,6,2,8,67,5,47,0,6,0,"/trunk/hpi/apps/tracefreqanalysis/main.cpp",0,3,3,0,0,0,23,0,6,18,1,1,1,3,0,9,0,"int main",0,48,0,int main,"void createFunctionExecutions",6,24,0,,,,,,,,,,,,,,,
19,5,0,0,2,0,3,7,1,5,0,,0,"/trunk/hpi/apps/fpcodevis/main.cpp",0,2,2,0,0,0,4,0,,1,0,1,,0,0,2,0,"int main",0,9,0,int main,"int main",0,1,0,,,,,,,,,,,,,,,
31,8,1,0,0,0,6,14,0,6,3,,0,"/trunk/hpi/apps/fpcodevis/fpcodevis.h",0,,1,0,2,0,6,0,,,0,2,,1,0,2,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
14,3,1,0,0,0,2,5,0,2,2,,0,"/trunk/hpi/apps/fpcodevis/bundleviewattributemapper.h",0,,1,0,1,0,2,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
13,2,0,0,1,0,1,5,2,2,0,,0,"/trunk/hpi/apps/fpcodevis/bundleviewattributemapper.cpp",0,1,1,0,0,0,2,0,,,0,3,,0,0,1,0,"BundleViewAttributeMapper::colorForEdgeStart",0,3,0,BundleViewAttributeMapper::colorForEdgeStart,"BundleViewAttributeMapper::colorForEdgeStart",1,,0,,,,,,,,,,,,,,,
83,21,0,0,2,0,10,29,4,21,0,,0,"/trunk/hpi/apps/fpcodevis/fpcodevis.cpp",0,2,2,0,0,0,19,0,,2,9,4,,0,0,12,0,"FPCodeVis::FPCodeVis",0,12,0,FPCodeVis::open,"FPCodeVis::open",13,2,0,,,,,,,,,,,,,,,
31,10,0,0,0,0,9,13,0,9,3,,0,"/trunk/hpi/apps/visualreengineering/sdcsvmetricsimporter.h",0,,1,1,1,0,9,0,,,1,1,,1,0,4,0,0,1,0,0,0,,2,,0,,,,,,,,,,,,,,,
19,6,0,0,2,0,4,8,1,6,0,,0,"/trunk/hpi/apps/visualreengineering/main.cpp",0,2,2,0,0,0,5,0,,1,0,1,,0,0,3,0,"int main",0,10,0,int main,"int main",0,1,0,,,,,,,,,,,,,,,
420,206,0,0,6,0,45,272,29,206,0,8,0,"/trunk/hpi/apps/visualreengineering/visualreengineering.cpp",5,5,5,0,0,0,129,0,2,69,2,56,,0,0,39,0,"VisualReengineering::VisualReengineering",0,50,0,VisualReengineering::highlightFoundNodes,"VisualReengineering::highlightFoundNodes",7,77,0,4,2,4,6,,,,,,,,,,,
14,1,0,0,1,0,1,5,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/hoverablelistwidget.cpp",0,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"HoverableListWidget::hovered",0,3,0,HoverableListWidget::HoverableListWidget,"HoverableListWidget::HoverableListWidget",1,,0,,,,,,,,,,,,,,,
13,2,0,0,1,0,1,5,2,2,0,,0,"/trunk/hpi/apps/visualreengineering/attributemapper.cpp",0,1,1,0,0,0,2,0,,,0,3,,0,0,1,0,"AttributeMapper::colorForEdgeStart",0,3,0,AttributeMapper::colorForEdgeStart,"AttributeMapper::colorForEdgeStart",1,,0,,,,,,,,,,,,,,,
99,43,0,0,0,0,39,53,0,39,3,,0,"/trunk/hpi/apps/visualreengineering/visualreengineering.h",0,,1,26,4,0,39,0,,,0,4,,1,0,5,0,0,1,0,0,0,,7,,0,,,,,,,,,,,,,,,
22,4,0,0,0,0,3,9,0,3,1,,0,"/trunk/hpi/apps/visualreengineering/hoverablelistwidget.h",0,,1,2,1,0,3,0,,,0,1,,1,0,2,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
206,100,0,0,7,0,17,130,12,100,0,27,0,"/trunk/hpi/apps/visualreengineering/koopaxmlimporter.cpp",0,4,4,0,0,0,59,0,21,14,0,32,3,0,0,4,0,"KoopaXMLImporter::importSection",0,29,0,KoopaXMLImporter::importSection,"KoopaXMLImporter::importProgram",4,41,0,,6,,6,,,,,,,,,,,
14,3,1,0,0,0,2,5,0,2,2,,0,"/trunk/hpi/apps/visualreengineering/attributemapper.h",0,,1,0,1,0,2,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
59,28,0,0,0,0,25,31,0,25,2,,0,"/trunk/hpi/apps/visualreengineering/koopaxmlimporter.h",0,,1,10,3,0,25,0,,,0,1,,3,0,5,0,0,1,0,0,0,,3,,0,,,,,,,,,,,,,,,
113,47,0,0,11,0,6,66,4,47,0,11,0,"/trunk/hpi/apps/visualreengineering/sdcsvmetricsimporter.cpp",0,3,3,0,0,0,21,0,11,15,6,15,2,0,0,7,0,"SDCSVMetricsImporter::import",0,56,0,SDCSVMetricsImporter::import,"SDCSVMetricsImporter::import",15,26,0,,,,,,,,,,,,,,,
25,4,0,0,2,0,2,10,3,4,0,,0,"/trunk/hpi/apps/visualreengineering/history/operation.cpp",0,2,2,0,0,0,2,0,,2,0,3,,0,0,2,0,"Operation::pathForNode",0,8,0,Operation::pathForNode,"Operation::pathForNode",1,2,0,,,,,,,,,,,,,,,
26,6,0,0,2,0,2,12,4,6,0,,0,"/trunk/hpi/apps/visualreengineering/history/history.cpp",0,2,2,0,0,0,5,0,,1,0,5,,0,0,1,0,"History::operationStrings",0,7,0,History::operationStrings,"History::operationStrings",1,1,0,,,,,,,,,,,,,,,
21,6,0,0,0,0,5,10,0,5,2,,0,"/trunk/hpi/apps/visualreengineering/history/splitoperation.h",0,,1,0,1,0,5,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
14,1,0,0,1,0,1,5,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/history/deleteoperation.cpp",0,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"DeleteOperation::toString",0,3,0,DeleteOperation::DeleteOperation,"DeleteOperation::DeleteOperation",1,,0,,,,,,,,,,,,,,,
